REPORTER_CD,year,class
090,2006,H2
090,2007,H2
090,2008,H2
090,2009,H1
090,2010,H2
090,2011,H1
090,2012,H1
090,2013,H1
090,2014,H1
090,2015,H4
090,2016,H4
090,2017,H4
096,2001,H0
096,2002,H1
096,2003,H1
096,2004,H2
096,2006,H1
096,2007,H2
096,2008,H2
096,2009,H3
096,2010,H3
096,2011,H3
096,2012,H3
096,2013,H4
096,2014,H4
096,2015,H4
096,2016,H4
096,2017,H5
097,2001,H1
097,2002,H2
097,2003,H2
097,2004,H2
097,2005,H2
097,2006,H2
097,2007,H3
097,2008,H3
097,2009,H3
097,2010,H3
097,2011,H3
097,2012,H4
097,2013,H4
097,2014,H4
097,2015,H4
097,2016,H4
097,2017,H5
100,2001,H1
100,2002,H2
100,2003,H2
100,2004,H2
100,2005,H2
100,2006,H2
100,2007,H3
100,2008,H3
100,2009,H3
100,2010,H3
100,2011,H3
100,2012,H4
100,2013,H4
100,2014,H4
100,2015,H4
100,2016,H4
100,2017,H5
104,2001,H1
104,2010,H3
104,2011,H3
104,2012,H4
104,2013,H4
104,2014,H4
104,2015,H4
104,2016,H4
104,2017,H5
108,2001,H0
108,2002,H0
108,2003,H1
108,2004,H1
108,2005,H1
108,2006,H2
108,2007,H2
108,2008,H2
108,2009,H2
108,2010,H3
108,2011,H2
108,2012,H2
108,2013,H3
108,2014,H4
108,2015,H4
108,2016,H4
108,2017,H4
112,2001,H1
112,2002,H2
112,2003,H2
112,2004,H2
112,2005,H2
112,2006,H2
112,2007,H2
112,2008,H3
112,2009,H3
112,2010,H3
112,2011,H3
112,2012,H4
112,2013,H4
112,2014,H4
112,2015,H4
112,2016,H4
116,2001,H1
116,2002,H1
116,2003,H1
116,2004,H2
116,2005,H2
116,2006,H2
116,2007,H3
116,2008,H3
116,2009,H3
116,2010,H3
116,2011,H3
116,2012,H4
116,2013,H4
116,2014,H4
116,2015,H4
116,2016,H4
120,2001,H1
120,2002,H1
120,2003,H1
120,2004,H1
120,2005,H2
120,2006,H2
120,2007,H2
120,2008,H2
120,2009,H2
120,2010,H2
120,2011,H2
120,2012,H2
120,2013,H4
120,2014,H4
120,2015,H4
120,2016,H4
124,2001,H1
124,2002,H2
124,2003,H2
124,2004,H2
124,2005,H2
124,2006,H2
124,2007,H3
124,2008,H3
124,2009,H3
124,2010,H3
124,2011,H3
124,2012,H4
124,2013,H4
124,2014,H4
124,2015,H4
124,2016,H4
124,2017,H5
132,2001,H1
132,2002,H1
132,2003,H1
132,2004,H1
132,2005,H1
132,2006,H1
132,2007,H2
132,2008,H3
132,2009,H3
132,2010,H3
132,2011,H3
132,2012,H3
132,2013,H4
132,2014,H4
132,2015,H4
132,2016,H4
132,2017,H4
136,2013,H2
136,2015,H4
140,2001,H0
140,2002,H0
140,2003,H0
140,2004,H0
140,2005,H0
140,2006,H2
140,2007,H2
140,2008,H2
140,2009,H2
140,2010,H3
140,2011,H3
140,2012,H3
140,2013,H3
140,2014,H3
140,2015,H3
140,2016,H4
144,2001,H1
144,2002,H2
144,2003,H2
144,2004,H2
144,2005,H2
144,2006,H2
144,2007,H2
144,2008,H3
144,2009,H3
144,2010,H3
144,2011,H3
144,2012,H3
144,2013,H4
144,2014,H4
144,2015,H4
144,2016,H4
144,2017,H5
152,2001,H1
152,2002,H2
152,2003,H2
152,2004,H2
152,2005,H2
152,2006,H2
152,2007,H3
152,2008,H3
152,2009,H3
152,2010,H3
152,2011,H3
152,2012,H4
152,2013,H4
152,2014,H4
152,2015,H4
152,2016,H4
152,2017,H5
156,2001,H1
156,2002,H2
156,2003,H2
156,2004,H2
156,2005,H2
156,2006,H2
156,2007,H3
156,2008,H3
156,2009,H3
156,2010,H3
156,2011,H3
156,2012,H4
156,2013,H4
156,2014,H4
156,2015,H4
156,2016,H4
170,2001,H1
170,2002,H2
170,2003,H2
170,2004,H2
170,2005,H2
170,2006,H2
170,2007,H3
170,2008,H3
170,2009,H3
170,2010,H3
170,2011,H3
170,2012,H4
170,2013,H4
170,2014,H4
170,2015,H4
170,2016,H4
174,2001,H0
174,2002,H0
174,2003,H0
174,2004,H0
174,2005,H0
174,2006,H0
174,2007,H0
174,2008,H2
174,2009,H2
174,2010,H2
174,2011,H2
174,2012,H2
174,2013,H2
175,2001,H1
175,2002,H2
175,2003,H2
175,2004,H2
175,2005,H2
175,2006,H2
175,2007,H3
175,2008,H3
175,2009,H3
178,2007,H2
178,2008,H2
178,2009,H2
178,2010,H2
178,2011,H2
178,2012,H2
178,2013,H2
178,2014,H4
184,2001,H1
184,2002,H2
184,2003,H2
184,2004,H2
184,2005,H2
184,2007,H0
184,2008,H3
184,2009,H0
184,2010,H0
184,2011,H0
188,2001,H1
188,2002,H1
188,2003,H2
188,2004,H2
188,2005,H2
188,2006,H2
188,2007,H3
188,2008,H3
188,2009,H3
188,2010,H3
188,2011,H3
188,2012,H4
188,2013,H4
188,2014,H4
188,2015,H4
188,2016,H4
191,2001,H1
191,2002,H2
191,2003,H2
191,2004,H2
191,2005,H2
191,2006,H2
191,2007,H3
191,2008,H3
191,2009,H3
191,2010,H3
191,2011,H3
191,2012,H4
191,2013,H4
191,2014,H4
191,2015,H4
191,2016,H4
191,2017,H5
192,2001,H1
192,2002,H1
192,2003,H2
192,2004,H2
192,2005,H2
192,2006,H2
196,2001,H1
196,2002,H2
196,2003,H2
196,2004,H2
196,2005,H2
196,2006,H2
196,2007,H3
196,2008,H3
196,2009,H3
196,2010,H3
196,2011,H3
196,2012,H4
196,2013,H4
196,2014,H4
196,2015,H4
196,2016,H4
196,2017,H5
203,2001,H1
203,2002,H2
203,2003,H2
203,2004,H2
203,2005,H2
203,2006,H2
203,2007,H3
203,2008,H3
203,2009,H3
203,2010,H3
203,2011,H3
203,2012,H4
203,2013,H4
203,2014,H4
203,2015,H4
203,2016,H4
203,2017,H5
204,2001,H1
204,2002,H1
204,2003,H1
204,2004,H1
204,2005,H1
204,2006,H2
204,2007,H2
204,2008,H2
204,2009,H2
204,2010,H2
204,2011,H2
204,2012,H2
204,2013,H3
204,2014,H3
204,2015,H4
204,2016,H4
208,2001,H1
208,2002,H2
208,2003,H2
208,2004,H2
208,2005,H2
208,2006,H2
208,2007,H3
208,2008,H3
208,2009,H3
208,2010,H3
208,2011,H3
208,2012,H4
208,2013,H4
208,2014,H4
208,2015,H4
208,2016,H4
208,2017,H5
212,2001,H1
212,2002,H1
212,2003,H1
212,2004,H1
212,2005,H1
212,2006,H2
212,2007,H2
212,2008,H2
212,2009,H3
212,2010,H3
212,2012,H3
214,2001,H1
214,2002,H1
214,2003,H1
214,2004,H1
214,2005,H1
214,2006,H2
214,2007,H3
214,2008,H3
214,2009,H3
214,2010,H3
214,2011,H3
214,2012,H4
214,2013,H4
214,2014,H4
214,2015,H4
214,2016,H4
214,2017,H5
218,2001,H1
218,2002,H2
218,2003,H2
218,2004,H2
218,2005,H2
218,2006,H2
218,2007,H2
218,2008,H3
218,2009,H3
218,2010,H3
218,2011,H3
218,2012,H3
218,2013,H4
218,2014,H4
218,2015,H4
218,2016,H4
218,2017,H5
222,2001,H1
222,2002,H2
222,2003,H2
222,2004,H2
222,2005,H2
222,2006,H2
222,2007,H3
222,2008,H3
222,2009,H3
222,2010,H3
222,2011,H3
222,2012,H4
222,2013,H4
222,2014,H4
222,2015,H4
222,2016,H4
222,2017,H5
231,2001,H1
231,2002,H1
231,2003,H1
231,2004,H2
231,2005,H2
231,2006,H2
231,2007,H2
231,2008,H3
231,2009,H3
231,2010,H3
231,2011,H3
